10th_score,12th_score,UG_score,Interests,Skills,Recommended_Career
76.55,90.61,8.48,Design,"Creativity, Sketch",UX/UI Designer
86.43,60.6,8.37,Software Development,"Problem Solving, C++, Java, OOP, Spring Boot",Software Developer
62.05,64.69,9.17,AI/ML,"NLP, Keras, Deep Learning, Python, Scikit-learn",Machine Learning Engineer
71.38,82.15,6.37,Cybersecurity,"Ethical Hacking, Linux, Wireshark, Firewalls, Cryptography",Cybersecurity Analyst
65.92,85.62,7.04,Software Development,"Problem Solving, Spring Boot, OOP",Software Developer
73.15,89.19,8.97,Software Development,"Git, C++, Problem Solving",Software Developer
69.26,85.59,7.09,Data Science,"Pandas, NumPy",Data Scientist
66.97,72.0,9.43,Cloud Computing,"AWS, Docker, DevOps, Kubernetes",Cloud Engineer
89.79,74.5,9.32,Software Development,"Spring Boot, Git, C++, Problem Solving",Software Developer
71.86,94.13,7.89,AI/ML,"Scikit-learn, Deep Learning, NLP",Machine Learning Engineer
69.98,93.65,6.51,AI/ML,"NLP, Keras",Machine Learning Engineer
87.34,82.54,9.44,Cybersecurity,"Wireshark, Firewalls",Cybersecurity Analyst
69.06,68.03,8.27,AI/ML,"Scikit-learn, Deep Learning, Python, TensorFlow, NLP",Machine Learning Engineer
61.84,79.94,8.79,Software Development,"Problem Solving, Git, C++",Software Developer
90.24,60.12,8.95,Web Development,"Node.js, HTML, CSS, React",Web Developer
72.4,86.31,9.03,AI/ML,"Scikit-learn, Python",Machine Learning Engineer
64.8,89.67,7.95,Cloud Computing,"Kubernetes, Azure, Docker",Cloud Engineer
76.59,82.36,7.31,Software Development,"Problem Solving, OOP, C++, Java",Software Developer
80.83,91.79,6.97,Software Development,"OOP, C++",Software Developer
77.49,80.5,8.28,Cloud Computing,"Azure, Kubernetes, DevOps",Cloud Engineer
86.66,61.35,6.39,AI/ML,"Scikit-learn, Deep Learning, NLP, Keras, Python",Machine Learning Engineer
74.71,60.39,8.52,Cybersecurity,"Linux, Network Security, Cryptography, Wireshark, Firewalls",Cybersecurity Analyst
73.82,92.27,9.33,Cloud Computing,"Kubernetes, AWS, Terraform, DevOps, Docker",Cloud Engineer
66.44,87.36,8.21,Cybersecurity,"Ethical Hacking, Linux, Firewalls, Cryptography, Wireshark",Cybersecurity Analyst
71.2,76.94,7.93,AI/ML,"Python, NLP, TensorFlow, Keras",Machine Learning Engineer
67.62,66.08,8.79,Design,"UI/UX, Sketch, Photoshop, Figma, Creativity",UX/UI Designer
93.57,72.35,8.73,AI/ML,"NLP, Keras",Machine Learning Engineer
60.81,77.93,9.03,Software Development,"Java, C++, Spring Boot",Software Developer
88.44,92.13,8.92,Data Science,"Data Analysis, SQL, Python, Pandas, NumPy",Data Scientist
63.17,91.61,6.7,Data Science,"Data Analysis, Machine Learning, Python",Data Scientist
75.59,60.76,9.04,Cloud Computing,"Terraform, Docker, AWS, Azure",Cloud Engineer
74.32,64.62,8.44,Design,"Photoshop, Creativity",UX/UI Designer
82.53,65.18,9.49,Cloud Computing,"Docker, Azure, AWS, Terraform",Cloud Engineer
90.49,73.07,7.1,Web Development,"JavaScript, HTML",Web Developer
65.14,90.93,9.0,Web Development,"Node.js, JavaScript",Web Developer
88.34,72.21,8.1,Software Development,"OOP, Spring Boot, Problem Solving",Software Developer
67.32,67.97,8.53,Software Development,"Git, C++, Java, Problem Solving, Spring Boot",Software Developer
74.02,75.45,7.55,Data Science,"SQL, Pandas, NumPy, Machine Learning, Data Analysis",Data Scientist
68.19,65.25,8.78,Data Science,"Pandas, Data Analysis, Python, Machine Learning, SQL",Data Scientist
61.48,94.62,8.55,Cybersecurity,"Ethical Hacking, Cryptography, Firewalls, Wireshark, Network Security",Cybersecurity Analyst
60.58,73.08,7.0,Cybersecurity,"Network Security, Linux, Firewalls",Cybersecurity Analyst
61.73,60.48,9.12,AI/ML,"TensorFlow, Deep Learning, NLP, Scikit-learn",Machine Learning Engineer
69.14,94.99,9.45,Cybersecurity,"Linux, Ethical Hacking, Firewalls, Wireshark, Cryptography",Cybersecurity Analyst
91.81,70.99,8.7,Cybersecurity,"Network Security, Wireshark, Cryptography",Cybersecurity Analyst
84.6,81.22,9.18,Cloud Computing,"AWS, Docker, Terraform, Kubernetes, Azure",Cloud Engineer
90.83,63.99,7.93,Cloud Computing,"DevOps, Kubernetes",Cloud Engineer
93.4,62.21,8.14,Software Development,"OOP, Java",Software Developer
86.11,68.36,7.83,Design,"Adobe XD, UI/UX",UX/UI Designer
73.79,64.31,8.59,Web Development,"Bootstrap, JavaScript, React",Web Developer
80.18,87.86,7.89,Data Science,"NumPy, SQL, Python",Data Scientist
68.83,93.79,7.06,Software Development,"Problem Solving, Git",Software Developer
